ColorCode,ProteinCoverage,Input,FANCI,,,,,,,,,
S1,gold,8.938547,0,,,,,,,,,
S2,orange,13.390313,0.2849003,,,,,,,,,
S3,salmon,16.269841,0,,,,,,,,,
S4,tomato2,13.218391,0,,,,,,,,,
N1,grey90,39.583333,37.5,,,,,,,,,
N2,grey70,37.190083,33.8842975,,,,,,,,,
N3,grey50,43.290043,48.4848485,,,,,,,,,
N4,grey30,38.888889,25.2525253,,,,,,,,,
C1,lightblue,21.07438,6.6115702,,,,,,,,,
C2,aquamarine,14.393939,4.5454545,,,,,,,,,
C3,cyan,14.090909,1.8181818,,,,,,,,,
C4,deepskyblue2,28.837209,12.0930233,,,,,,,,,
C5,turquoise3,26.099707,9.9706745,,,,,,,,,
M1,burlywood4,20.289855,2.8985507,,,,,,,,,
M2,tan4,25.650558,0.3717472,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,